bet_target_name,external_league_id,league_name,sport_id,sport_name
FK Ventspils,3274,2020 LMT Virsliga,soccer,Soccer
Hanshin Tigers,3377,2020 Nippon Professional Baseball,baseball,Baseball
"Stolze, N",2897,2020 Ultimate Fighting Championship,mma,MMA
FC Dornbirn,2548,2019/2020 Austria 2. Liga,soccer,Soccer
Calgary Flames,321,NHL,ice-hockey,Hockey
"Nogueira, A",2897,2020 Ultimate Fighting Championship,mma,MMA
GAIS,3284,2020 Superettan,soccer,Soccer
Club León,2928,2020 Liga BBVA Bancomer,soccer,Soccer
Sporting Kansas City,3053,2020 MLS,soccer,Soccer
Vitoria de Guimaraes,1283,2019/2020 Liga NOS,soccer,Soccer
Washington Football Team,319,NFL,american-football,Football
Gangwon FC,3188,2020 Korea Republic K-League 1,soccer,Soccer
Vegalta Sendai,3139,2020 J. League,soccer,Soccer
Saint-Étienne,2828,2019/2020 Coupe de France,soccer,Soccer
"Mendez, S",3333,2020 US Pro Tennis Series Women,tennis,Tennis
Wolverhampton Wanderers,1180,England Premier League,soccer,Soccer
Chicago Cubs,373,MLB,baseball,Baseball
Shanghai SIPG,3155,2020 Chinese Super League,soccer,Soccer
Marítimo,1283,2019/2020 Liga NOS,soccer,Soccer
"Meteleshko, I",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Portland Trail Blazers,320,NBA,basketball,Basketball
Burnley,1180,England Premier League,soccer,Soccer
FC Vitebsk,3294,2020 Belarusian Vysshaya Liga,soccer,Soccer
"Ronson, J",2897,2020 Ultimate Fighting Championship,mma,MMA
NULL,3154,2020 NASCAR Xfinity Series,motor-sports,Motor Racing
Cleveland Browns,319,NFL,american-football,Football
"Grillo, E",3444,2020 3M Open,golf,Golf
Napoli,2398,2019/2020 Serie A TIM,soccer,Soccer
San Antonio FC,3227,2020 USL,soccer,Soccer
"Yanshaev, A",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Montreal Impact,3053,2020 MLS,soccer,Soccer
Tallinna FC Levadia U21,3251,2020 Esiliiga A,soccer,Soccer
Maardu Linnameeskond,3251,2020 Esiliiga A,soccer,Soccer
AIK,3285,2020 Allsvenskan,soccer,Soccer
"Serebrennikov, A",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Colorado Rockies,373,MLB,baseball,Baseball
"Shirokov, V",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
North Eastern MetroStars,3288,2020 PS4 National Premier Leagues South,soccer,Soccer
"Rua, M",2897,2020 Ultimate Fighting Championship,mma,MMA
Rio Ave,1283,2019/2020 Liga NOS,soccer,Soccer
"Brehm, R",3444,2020 3M Open,golf,Golf
FC Barcelona,1181,2019/2020 Liga de Fútbol Profesional,soccer,Soccer
Santos de Guápiles,3350,2020 Union de Clubes de Primera División,soccer,Soccer
Shimizu S-Pulse,3139,2020 J. League,soccer,Soccer
New Zealand Warriors,3296,2020 Telstra Premiership,rugby-league,Rugby League
Cittadella,2399,2019/2020 Serie B Eurobet,soccer,Soccer
Maccabi Rishon Le-Zion,3397,2019/2020 Ligat HaAl,basketball,Basketball
Brisbane City,3292,2020 PS4 National Premier Leagues Queensland,soccer,Soccer
Neuchâtel Xamax,1162,2019/2020 Raiffeisen Super League,soccer,Soccer
FC Baník Ostrava,921,2019/2020 SYNOT Liga,soccer,Soccer
"Ivanov, Valeri",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
"Craig, P",2897,2020 Ultimate Fighting Championship,mma,MMA
FC Mariupol,1214,2019/2020 Premier League,soccer,Soccer
"Stefani, S",3444,2020 3M Open,golf,Golf
FC Slutsk,3294,2020 Belarusian Vysshaya Liga,soccer,Soccer
Trapani,2399,2019/2020 Serie B Eurobet,soccer,Soccer
SK Super Nova,3417,2020 Latvia 1. Liga,soccer,Soccer
"Smirnov, I",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
New Mexico United,3227,2020 USL,soccer,Soccer
Denver Broncos,319,NFL,american-football,Football
Olympique Lyonnais,2375,2019/2020 Coupe de la Ligue,soccer,Soccer
Club América,2928,2020 Liga BBVA Bancomer,soccer,Soccer
Mike Pero Nelson Giants,3406,2020 New Zealand Sal's NBL,basketball,Basketball
Milwaukee Bucks,320,NBA,basketball,Basketball
Philadelphia Phillies,373,MLB,baseball,Baseball
Machida Zelvia,3181,2020 J. League 2,soccer,Soccer
Atalanta,2398,2019/2020 Serie A TIM,soccer,Soccer
Volna Pinsk,3314,2020 Belarus Division 1,soccer,Soccer
Tampa Bay Rowdies,3227,2020 USL,soccer,Soccer
NULL,3442,2020 Price Cutter Charity Championship Presented by Dr Pepper,golf,Golf
"Frolov, A",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Dalkurd FF,3284,2020 Superettan,soccer,Soccer
KF Laci,2444,2019/2020 Kategoria Superiore,soccer,Soccer
Athletic Bilbao,1181,2019/2020 Liga de Fútbol Profesional,soccer,Soccer
Winnipeg Jets,321,NHL,ice-hockey,Hockey
AGF Aarhus,1122,2019/2020 ALKA Superliga,soccer,Soccer
FC Nõmme United,3251,2020 Esiliiga A,soccer,Soccer
Partizani Tirana,2444,2019/2020 Kategoria Superiore,soccer,Soccer
"Pico, A",3000,2020 Bellator 85,mma,MMA
Brighton & Hove Albion,1180,England Premier League,soccer,Soccer
Västerås SK FK,3284,2020 Superettan,soccer,Soccer
"Bandejas, R",3000,2020 Bellator 85,mma,MMA
UD Almería,2366,2019/2020 LaLiga 1|2|3,soccer,Soccer
Armadale SC,3289,2020 PS4 National Premier Leagues Western,soccer,Soccer
Shandong Luneng Taishan,3155,2020 Chinese Super League,soccer,Soccer
Incheon United,3188,2020 Korea Republic K-League 1,soccer,Soccer
Degerfors IF,3284,2020 Superettan,soccer,Soccer
Denver Nuggets,320,NBA,basketball,Basketball
San Jose Earthquakes,3053,2020 MLS,soccer,Soccer
FC Honka,3412,2020 Veikkausliiga,soccer,Soccer
Adelaide City,3288,2020 PS4 National Premier Leagues South,soccer,Soccer
Tokyo Yakult Swallows,3377,2020 Nippon Professional Baseball,baseball,Baseball
Suwon FC,3255,2020 Korea Republic K-League 2,soccer,Soccer
Jönköpings Södra,3284,2020 Superettan,soccer,Soccer
Start,3351,2020 Eliteserien,soccer,Soccer
Great Britain Race,3214,2020 FIA Formula One World Championship,motor-sports,Motor Racing
Virtus Entella,2399,2019/2020 Serie B Eurobet,soccer,Soccer
Monaro Panthers,3293,2020 National Premier League Capital Territory,soccer,Soccer
Redlands United,3292,2020 PS4 National Premier Leagues Queensland,soccer,Soccer
Giravanz Kitakyushu,3181,2020 J. League 2,soccer,Soccer
Pittsburgh Penguins,321,NHL,ice-hockey,Hockey
"Arutiunyan, A",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
FC Shakhtyor Soligorsk,3294,2020 Belarusian Vysshaya Liga,soccer,Soccer
Vancouver Whitecaps,3053,2020 MLS,soccer,Soccer
Torpedo Kutaisi,3220,2020 Georgia Erovnuli Liga,soccer,Soccer
"Lyfenko, N",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Avispa Fukuoka,3181,2020 J. League 2,soccer,Soccer
Capalaba Bulldogs,3292,2020 PS4 National Premier Leagues Queensland,soccer,Soccer
Sporting Kansas City II,3227,2020 USL,soccer,Soccer
Saitama Seibu Lions,3377,2020 Nippon Professional Baseball,baseball,Baseball
Tennessee Titans,319,NFL,american-football,Football
Southampton,1180,England Premier League,soccer,Soccer
Los Angeles Lakers,320,NBA,basketball,Basketball
Pittsburgh Riverhounds,3227,2020 USL,soccer,Soccer
Odra Opole,2411,2020/2021 Polish First League,soccer,Soccer
Indiana Pacers,320,NBA,basketball,Basketball
"Grundy, M",2897,2020 Ultimate Fighting Championship,mma,MMA
Qingdao Huanghai FC,3155,2020 Chinese Super League,soccer,Soccer
FC Saburtalo Tbilisi,3220,2020 Georgia Erovnuli Liga,soccer,Soccer
AC Kajaani,3405,2020 Ykkönen,soccer,Soccer
"Brunson, D",2897,2020 Ultimate Fighting Championship,mma,MMA
"Mandlik, E",3333,2020 US Pro Tennis Series Women,tennis,Tennis
Deportivo Toluca,2928,2020 Liga BBVA Bancomer,soccer,Soccer
FC Molodechno,3336,2020/2021 Belarusian Cup,soccer,Soccer
"Blanch, U",3353,2020 Grand Slam Tennis Tours MatchPlay 120,tennis,Tennis
"Udvardy, P",3333,2020 US Pro Tennis Series Women,tennis,Tennis
VfL Wolfsburg,2454,2019/2020 UEFA Europa League,soccer,Soccer
Crystal Palace,1180,England Premier League,soccer,Soccer
FC FCSB,1123,2019/2020 Liga 1 Bergembier,soccer,Soccer
Municipal Pérez Zeledón,3350,2020 Union de Clubes de Primera División,soccer,Soccer
AS Roma,2454,2019/2020 UEFA Europa League,soccer,Soccer
"Gustafsson, A",2897,2020 Ultimate Fighting Championship,mma,MMA
Belenenses,1283,2019/2020 Liga NOS,soccer,Soccer
C.S. Cartaginés,3350,2020 Union de Clubes de Primera División,soccer,Soccer
FC Arges Pitesti,2410,2019/2020 Liga II,soccer,Soccer
Djurgårdens IF,3285,2020 Allsvenskan,soccer,Soccer
Washington Capitals,321,NHL,ice-hockey,Hockey
Istanbul Basaksehir FK,2378,2019/2020 Spor Toto Süper Lig,soccer,Soccer
Dallas Cowboys,319,NFL,american-football,Football
Adelaide Comets,3288,2020 PS4 National Premier Leagues South,soccer,Soccer
Matsumoto Yamaga FC,3181,2020 J. League 2,soccer,Soccer
Lechia Gdansk,1148,2019/2020 T-Mobile Ekstraklasa,soccer,Soccer
NK Osijek,1150,2019/2020 MAXtv Prva HNL,soccer,Soccer
Carlton,3219,2020 Toyota AFL Premiership,aussie-rules,Aussie Rules
Gold Coast Knights SC,3292,2020 PS4 National Premier Leagues Queensland,soccer,Soccer
"Safonov, V",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Busan I'Park,3188,2020 Korea Republic K-League 1,soccer,Soccer
Belshina Bobruisk,3294,2020 Belarusian Vysshaya Liga,soccer,Soccer
Albirex Niigata Albi,3181,2020 J. League 2,soccer,Soccer
Toronto Blue Jays,373,MLB,baseball,Baseball
Indianapolis Colts,319,NFL,american-football,Football
Vissel Kobe,3139,2020 J. League,soccer,Soccer
Gwelup Croatia SC,3289,2020 PS4 National Premier Leagues Western,soccer,Soccer
OKS Stomil Olsztyn,2411,2020/2021 Polish First League,soccer,Soccer
"Olmos, G",3362,2020 US Pro Tennis Series West Women,tennis,Tennis
Istanbul Basaksehir FK,2454,2019/2020 UEFA Europa League,soccer,Soccer
FK Jelgava,3274,2020 LMT Virsliga,soccer,Soccer
"Gomez, F",3444,2020 3M Open,golf,Golf
Dinamo Minsk,3294,2020 Belarusian Vysshaya Liga,soccer,Soccer
Chicago White Sox,373,MLB,baseball,Baseball
IF Gnistan,3405,2020 Ykkönen,soccer,Soccer
Skive IK,2418,2019/2020 NordicBet Ligaen,soccer,Soccer
"Sleeth, L",3333,2020 US Pro Tennis Series Women,tennis,Tennis
LG Twins,3330,2020 Korean Baseball Organization,baseball,Baseball
Los Angeles Dodgers,373,MLB,baseball,Baseball
Sandefjord Fotball,3351,2020 Eliteserien,soccer,Soccer
FK Krasnodar,1124,2019/2020 Sogaz Russian Championship,soccer,Soccer
Sydney,3219,2020 Toyota AFL Premiership,aussie-rules,Aussie Rules
Launceston City,3290,2020 National Premier Leagues Tasmania,soccer,Soccer
Ascoli,2399,2019/2020 Serie B Eurobet,soccer,Soccer
"Halbauer, E",3333,2020 US Pro Tennis Series Women,tennis,Tennis
FC Lugano,1162,2019/2020 Raiffeisen Super League,soccer,Soccer
"Spicely, E",2897,2020 Ultimate Fighting Championship,mma,MMA
Cockburn City,3289,2020 PS4 National Premier Leagues Western,soccer,Soccer
"Basmanov, D",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
"Atwal, A",3444,2020 3M Open,golf,Golf
Daejeon Citizen,3255,2020 Korea Republic K-League 2,soccer,Soccer
Ehime FC,3181,2020 J. League 2,soccer,Soccer
Lotte Giants,3330,2020 Korean Baseball Organization,baseball,Baseball
FC BATE Borisov,3294,2020 Belarusian Vysshaya Liga,soccer,Soccer
Östersunds FK,3285,2020 Allsvenskan,soccer,Soccer
Orix Buffaloes,3377,2020 Nippon Professional Baseball,baseball,Baseball
HNK Rijeka,1150,2019/2020 MAXtv Prva HNL,soccer,Soccer
HJK Helsinki,3412,2020 Veikkausliiga,soccer,Soccer
"Closs, M",3362,2020 US Pro Tennis Series West Women,tennis,Tennis
Brumbies,3414,2020 Super Rugby Mini-Series,rugby-union,Rugby Union
"Hapoel ""Bank Yahav"" Jerusalem",3397,2019/2020 Ligat HaAl,basketball,Basketball
Kiwoom Heroes,3330,2020 Korean Baseball Organization,baseball,Baseball
HB Køge,2418,2019/2020 NordicBet Ligaen,soccer,Soccer
"Jovic, J",3333,2020 US Pro Tennis Series Women,tennis,Tennis
"Wilson, Jay Jay",3000,2020 Bellator 85,mma,MMA
Guangzhou R&F,3155,2020 Chinese Super League,soccer,Soccer
St Kilda,3219,2020 Toyota AFL Premiership,aussie-rules,Aussie Rules
Gazisehir Gaziantep F.K.,2378,2019/2020 Spor Toto Süper Lig,soccer,Soccer
JK Tallinna Kalev,3253,2020 A Le Coq Premium Liiga,soccer,Soccer
FC Clinceni,1123,2019/2020 Liga 1 Bergembier,soccer,Soccer
Fagiano Okayama,3181,2020 J. League 2,soccer,Soccer
Washington Wizards,320,NBA,basketball,Basketball
Arsenal,2797,2019/2020 The Emirates FA Cup,soccer,Soccer
Real Betis,1181,2019/2020 Liga de Fútbol Profesional,soccer,Soccer
Örebro SK,3285,2020 Allsvenskan,soccer,Soccer
"Cid Subervi, R",3353,2020 Grand Slam Tennis Tours MatchPlay 120,tennis,Tennis
Liverpool,1180,England Premier League,soccer,Soccer
IK Sirius,3285,2020 Allsvenskan,soccer,Soccer
SJK Akatemia,3405,2020 Ykkönen,soccer,Soccer
Kia Tigers,3330,2020 Korean Baseball Organization,baseball,Baseball
"Smith, M",3437,2020 BetVictor World Matchplay,darts,Darts
Buffalo Bills,319,NFL,american-football,Football
Istra 1961,1150,2019/2020 MAXtv Prva HNL,soccer,Soccer
"Henley, R",3444,2020 3M Open,golf,Golf
Ilves,3412,2020 Veikkausliiga,soccer,Soccer
"Nikulin, S",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
"Kirilenko, A",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Trabzonspor,2378,2019/2020 Spor Toto Süper Lig,soccer,Soccer
NC Dinos,3330,2020 Korean Baseball Organization,baseball,Baseball
Collingwood,3219,2020 Toyota AFL Premiership,aussie-rules,Aussie Rules
Víkingur Gøta,3260,2020 Vodafonedeildin Premier League,soccer,Soccer
"Bychkov, S",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Yokohama FC,3139,2020 J. League,soccer,Soccer
"Cormier, D",2897,2020 Ultimate Fighting Championship,mma,MMA
CS Herediano,3350,2020 Union de Clubes de Primera División,soccer,Soccer
Portimonense,1283,2019/2020 Liga NOS,soccer,Soccer
Auckland Huskies,3406,2020 New Zealand Sal's NBL,basketball,Basketball
IFK Göteborg,3285,2020 Allsvenskan,soccer,Soccer
"Khomutov, S",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
Galatasaray SK,2378,2019/2020 Spor Toto Süper Lig,soccer,Soccer
Detroit Lions,319,NFL,american-football,Football
"Karimov, J",3361,2020 US Pro Tennis Series West,tennis,Tennis
Jeonbuk Hyundai Motors,3188,2020 Korea Republic K-League 1,soccer,Soccer
"Karlovskiy, E",3353,2020 Grand Slam Tennis Tours MatchPlay 120,tennis,Tennis
Brentford,1235,2019/2020 Sky Bet Championship,soccer,Soccer
Jiangsu Suning F.C.,3155,2020 Chinese Super League,soccer,Soccer
Olympiacos,2454,2019/2020 UEFA Europa League,soccer,Soccer
Guangzhou Evergrande F.C.,3155,2020 Chinese Super League,soccer,Soccer
New York City FC,3053,2020 MLS,soccer,Soccer
Adelaide Blue Eagles,3288,2020 PS4 National Premier Leagues South,soccer,Soccer
"Fanning, E",3333,2020 US Pro Tennis Series Women,tennis,Tennis
"Antigulov, G",2897,2020 Ultimate Fighting Championship,mma,MMA
Montreal Canadiens,321,NHL,ice-hockey,Hockey
Neman Grodno,3294,2020 Belarusian Vysshaya Liga,soccer,Soccer
"Hadley, C",3444,2020 3M Open,golf,Golf
New England Revolution,3053,2020 MLS,soccer,Soccer
Cronulla-Sutherland Sharks,3296,2020 Telstra Premiership,rugby-league,Rugby League
"Andreev, D",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
FK Tukums 2000/Tss,3274,2020 LMT Virsliga,soccer,Soccer
Gold Coast Titans,3296,2020 Telstra Premiership,rugby-league,Rugby League
"Vera, M",2897,2020 Ultimate Fighting Championship,mma,MMA
CD Aves,1283,2019/2020 Liga NOS,soccer,Soccer
Tampa Bay Rays,373,MLB,baseball,Baseball
Odense BK,1122,2019/2020 ALKA Superliga,soccer,Soccer
Querétaro,2928,2020 Liga BBVA Bancomer,soccer,Soccer
FC Smolevichi-STI,3294,2020 Belarusian Vysshaya Liga,soccer,Soccer
"Nefedova, A",3333,2020 US Pro Tennis Series Women,tennis,Tennis
Adelaide United,2712,2019/2020 Hyundai A-League,soccer,Soccer
FC Rukh Brest,3294,2020 Belarusian Vysshaya Liga,soccer,Soccer
KSV 1919,2548,2019/2020 Austria 2. Liga,soccer,Soccer
Zaglebie Sosnowiec,2411,2020/2021 Polish First League,soccer,Soccer
Shenzhen FC,3155,2020 Chinese Super League,soccer,Soccer
Bucheon FC 1995,3255,2020 Korea Republic K-League 2,soccer,Soccer
"Mitchell, K",3444,2020 3M Open,golf,Golf
Fremad Amager,2418,2019/2020 NordicBet Ligaen,soccer,Soccer
"Saenz, F",2897,2020 Ultimate Fighting Championship,mma,MMA
Zweigen Kanazawa,3181,2020 J. League 2,soccer,Soccer
Juve Stabia,2399,2019/2020 Serie B Eurobet,soccer,Soccer
"Brown, R",2897,2020 Ultimate Fighting Championship,mma,MMA
Torpedo Belaz,3294,2020 Belarusian Vysshaya Liga,soccer,Soccer
Energetik-BGU,3294,2020 Belarusian Vysshaya Liga,soccer,Soccer
Orlando City,3053,2020 MLS,soccer,Soccer
Glenorchy Knights,3290,2020 National Premier Leagues Tasmania,soccer,Soccer
JEF United Chiba,3181,2020 J. League 2,soccer,Soccer
SKU Amstetten,2548,2019/2020 Austria 2. Liga,soccer,Soccer
Newcastle Knights,3296,2020 Telstra Premiership,rugby-league,Rugby League
Stade Lausanne-Ouchy,1233,2019/2020 Brack.ch Challenge League,soccer,Soccer
Port Adelaide,3219,2020 Toyota AFL Premiership,aussie-rules,Aussie Rules
"Frittelli, D",3444,2020 3M Open,golf,Golf
Chicago Bears,319,NFL,american-football,Football
FC Wacker Innsbruck,2548,2019/2020 Austria 2. Liga,soccer,Soccer
Sarpsborg 08,3351,2020 Eliteserien,soccer,Soccer
Western Sydney Wanderers,2712,2019/2020 Hyundai A-League,soccer,Soccer
Las Vegas Raiders,319,NFL,american-football,Football
Chievo,2399,2019/2020 Serie B Eurobet,soccer,Soccer
Hurricanes,3344,2020 Super Rugby Mini-Series,rugby-union,Rugby Union
"Bobrov, B",3361,2020 US Pro Tennis Series West,tennis,Tennis
Genoa,2398,2019/2020 Serie A TIM,soccer,Soccer
Tottenham Hotspur,1180,England Premier League,soccer,Soccer
FK Isloch Minsk,3294,2020 Belarusian Vysshaya Liga,soccer,Soccer
Jacksonville Jaguars,319,NFL,american-football,Football
"Emmers, J",2897,2020 Ultimate Fighting Championship,mma,MMA
"O'Malley, S",2897,2020 Ultimate Fighting Championship,mma,MMA
"Haley II, P",3442,2020 Price Cutter Charity Championship Presented by Dr Pepper,golf,Golf
Strømsgodset,3351,2020 Eliteserien,soccer,Soccer
FC Sion,1162,2019/2020 Raiffeisen Super League,soccer,Soccer
"Mitchell, S",3313,2020 Icons of Darts Live League,darts,Darts
FC Zürich,1162,2019/2020 Raiffeisen Super League,soccer,Soccer
FC Roskilde,2418,2019/2020 NordicBet Ligaen,soccer,Soccer
Górnik Zabrze,1148,2019/2020 T-Mobile Ekstraklasa,soccer,Soccer
El Paso Locomotive FC,3227,2020 USL,soccer,Soccer
Kayserispor,2378,2019/2020 Spor Toto Süper Lig,soccer,Soccer
NULL,3340,NFL Futures,american-football,Football
Las Vegas Lights,3227,2020 USL,soccer,Soccer
NK Lokomotiva,1150,2019/2020 MAXtv Prva HNL,soccer,Soccer
"Oliveira, A",2897,2020 Ultimate Fighting Championship,mma,MMA
Thespakusatsu Gunma,3181,2020 J. League 2,soccer,Soccer
Jeju United,3255,2020 Korea Republic K-League 2,soccer,Soccer
Miami Dolphins,319,NFL,american-football,Football
Kansas City Royals,373,MLB,baseball,Baseball
"Ying, D",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
KuPS,3412,2020 Veikkausliiga,soccer,Soccer
Júbilo Iwata,3181,2020 J. League 2,soccer,Soccer
AC Horsens,1122,2019/2020 ALKA Superliga,soccer,Soccer
Real Mallorca,1181,2019/2020 Liga de Fútbol Profesional,soccer,Soccer
CSM Politehnica Iasi,1123,2019/2020 Liga 1 Bergembier,soccer,Soccer
Real Oviedo,2366,2019/2020 LaLiga 1|2|3,soccer,Soccer
Arizona Cardinals,319,NFL,american-football,Football
Lions FC,3292,2020 PS4 National Premier Leagues Queensland,soccer,Soccer
Hawthorn,3219,2020 Toyota AFL Premiership,aussie-rules,Aussie Rules
"Claxton, T",3000,2020 Bellator 85,mma,MMA
Washington Redskins,319,NFL,american-football,Football
ADR Jicaral,3350,2020 Union de Clubes de Primera División,soccer,Soccer
Tokushima Vortis,3181,2020 J. League 2,soccer,Soccer
Fukuoka SoftBank Hawks,3377,2020 Nippon Professional Baseball,baseball,Baseball
Paris Saint-Germain,2375,2019/2020 Coupe de la Ligue,soccer,Soccer
Oklahoma City Thunder,320,NBA,basketball,Basketball
"Pavlenko, R",3295,2020 Russian Liga Pro,table-tennis,Table Tennis
FC Nordsjælland,1122,2019/2020 ALKA Superliga,soccer,Soccer
FC Thun,1162,2019/2020 Raiffeisen Super League,soccer,Soccer
Moreirense FC,1283,2019/2020 Liga NOS,soccer,Soccer
Famalicão,1283,2019/2020 Liga NOS,soccer,Soccer
